Job,TotalProject,ProgrammingSkills,Framework,DatabaseSkills,ToolsSkills,Description
Software Engineer,5,"['SQL', 'Python', 'Java', 'PHP', 'Go', 'JavaScript', 'C']","['Laravel', 'React', 'Next.js', 'Android']","['MySQL', 'SQL Server', 'No-SQL']","['Tableau', 'Google Colab', 'Eclipse IDE', 'Visual Paradigm', 'AWS Cloud', 'Git', 'Design Patterns', 'Docker']","A software engineer is a professional responsible for designing developing and maintaining software using principles from computer science and engineering. They write code test programs fix bugs and ensure software functions properly and meets user needs. Software engineers work with teams like designers project managers and analysts to create efficient high-quality software solutions. They focus on solving problems building scalable systems and continuously improving applications to enhance user experiences."
Software Engineer,8,"['Python', 'C++', 'JavaScript', 'Ruby', 'Go']","['Django', 'Flask', 'React', 'Vue.js']","['PostgreSQL', 'MongoDB', 'MySQL']","['Git', 'Docker', 'Kubernetes', 'AWS', 'Jenkins']","A software engineer is a professional responsible for designing developing and maintaining software using principles from computer science and engineering. They write code test programs fix bugs and ensure software functions properly and meets user needs. Software engineers work with teams like designers project managers and analysts to create efficient high-quality software solutions. They focus on solving problems building scalable systems and continuously improving applications to enhance user experiences."
Software Engineer,8,"['Java', 'Go']","['Springboot', 'Gin','Gorilla', 'React', 'Vue.js']","['PostgreSQL', 'MongoDB', 'MySQL']","['Git', 'Docker']","A software engineer is a professional responsible for designing developing and maintaining software using principles from computer science and engineering. They write code test programs fix bugs and ensure software functions properly and meets user needs. Software engineers work with teams like designers project managers and analysts to create efficient high-quality software solutions. They focus on solving problems building scalable systems and continuously improving applications to enhance user experiences."
Software Engineer,5,"['Javascript', 'Java']","['React', 'React Native', 'Selenium']","['PostgreSQL', 'MongoDB']","['Git', 'Docker', 'Terraform']","A software engineer is a professional responsible for designing developing and maintaining software using principles from computer science and engineering. They write code test programs fix bugs and ensure software functions properly and meets user needs. Software engineers work with teams like designers project managers and analysts to create efficient high-quality software solutions. They focus on solving problems building scalable systems and continuously improving applications to enhance user experiences."
Software Engineer,3,"['Java', 'JavaScript']","['SpringBoot', 'AngularJS', 'ExpressJS']","['MySQL', 'Firebase']","['GCP', 'Git']","A software engineer is a professional responsible for designing developing and maintaining software using principles from computer science and engineering. They write code test programs fix bugs and ensure software functions properly and meets user needs. Software engineers work with teams like designers project managers and analysts to create efficient high-quality software solutions. They focus on solving problems building scalable systems and continuously improving applications to enhance user experiences."
Data Scientist,7,"['Python', 'R', 'Julia', 'SQL', 'Bash']","['TensorFlow', 'Keras', 'PyTorch', 'Flask']","['PostgreSQL', 'MongoDB', 'SQLite']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Scikit-learn', 'AWS S3', 'GitLab', 'Docker', 'Tableau']","A data scientist is a specialist focused on collecting analyzing and interpreting large amounts of data to help organizations make informed decisions. They use statistical methods machine learning and data visualization to uncover insights and trends. Data scientists work with teams to develop data-driven strategies and often collaborate with engineers and analysts. Their role involves cleaning data building predictive models and communicating findings to stakeholders to drive business growth and innovation."
Data Scientist,10,"['Python', 'R', 'Scala', 'SQL', 'Java']","['TensorFlow', 'PyTorch', 'H2O', 'XGBoost']","['MySQL', 'PostgreSQL', 'Hadoop']","['Jupyter Notebook', 'Google Colab', 'Pandas', 'Matplotlib', 'AWS Cloud', 'Spark', 'Git']","A data scientist is a specialist focused on collecting analyzing and interpreting large amounts of data to help organizations make informed decisions. They use statistical methods machine learning and data visualization to uncover insights and trends. Data scientists work with teams to develop data-driven strategies and often collaborate with engineers and analysts. Their role involves cleaning data building predictive models and communicating findings to stakeholders to drive business growth and innovation."
Data Scientist,2,"['Python', 'R', 'SQL', 'Java']","['TensorFlow', 'PyTorch']","['MySQL', 'PostgreSQL', 'Hadoop']","['Jupyter Notebook', 'Google Colab', 'Pandas', 'Matplotlib', 'AWS Cloud', 'Git']","A data scientist is a specialist focused on collecting analyzing and interpreting large amounts of data to help organizations make informed decisions. They use statistical methods machine learning and data visualization to uncover insights and trends. Data scientists work with teams to develop data-driven strategies and often collaborate with engineers and analysts. Their role involves cleaning data building predictive models and communicating findings to stakeholders to drive business growth and innovation."
Data Scientist,4,"['Python', 'R', 'Java']","['TensorFlow', 'PyTorch']","['MySQL', 'PostgreSQL', 'Hadoop']","['Jupyter Notebook', 'Matplotlib', 'AWS Cloud', 'Git']","A data scientist is a specialist focused on collecting analyzing and interpreting large amounts of data to help organizations make informed decisions. They use statistical methods machine learning and data visualization to uncover insights and trends. Data scientists work with teams to develop data-driven strategies and often collaborate with engineers and analysts. Their role involves cleaning data building predictive models and communicating findings to stakeholders to drive business growth and innovation."
Data Scientist,5,"['Python', 'R']","['TensorFlow', 'PyTorch']","['MySQL', 'PostgreSQL', 'MongoDB']","['Jupyter Notebook', 'Matplotlib', 'Azure Cloud', 'Git']","A data scientist is a specialist focused on collecting analyzing and interpreting large amounts of data to help organizations make informed decisions. They use statistical methods machine learning and data visualization to uncover insights and trends. Data scientists work with teams to develop data-driven strategies and often collaborate with engineers and analysts. Their role involves cleaning data building predictive models and communicating findings to stakeholders to drive business growth and innovation."
Machine Learning Engineer,5,"['Python', 'Java', 'C++', 'SQL']","['PyTorch', 'TensorFlow', 'Scikit-learn', 'Django']","['PostgreSQL', 'Cassandra', 'SQLite']","['Jupyter Notebook', 'Pandas', 'NumPy', 'AWS EC2', 'GitHub', 'Docker', 'Kubernetes']","A machine learning engineer is responsible for designing and building AI systems capable of learning from data and making predictions. They create and optimize algorithms and models that power machine learning applications. Machine learning engineers work closely with data scientists and software engineers to integrate models into production environments. Their role involves preparing data selecting appropriate models fine-tuning algorithms and ensuring scalability and efficiency. They focus on building systems that can adapt over time improving accuracy and performance in real-world applications."
Machine Learning Engineer,10,"['Python', 'R', 'Scala', 'Java', 'Bash']","['TensorFlow', 'Keras', 'PyTorch', 'Scikit-learn']","['PostgreSQL', 'MongoDB', 'BigQuery']","['Google Colab', 'Jupyter Notebook', 'Pandas', 'Scikit-learn', 'AWS Cloud', 'Docker', 'Kubernetes']","A machine learning engineer is responsible for designing and building AI systems capable of learning from data and making predictions. They create and optimize algorithms and models that power machine learning applications. Machine learning engineers work closely with data scientists and software engineers to integrate models into production environments. Their role involves preparing data selecting appropriate models fine-tuning algorithms and ensuring scalability and efficiency. They focus on building systems that can adapt over time improving accuracy and performance in real-world applications."
Machine Learning Engineer,3,"['Python', 'R']","['TensorFlow', 'Keras', 'PyTorch', 'Scikit-learn']","['PostgreSQL', 'MongoDB', 'Supabase']","['Google Colab', 'Jupyter Notebook', 'Pandas', 'Scikit-learn', 'AWS Cloud', 'Docker', 'Kubernetes']","A machine learning engineer is responsible for designing and building AI systems capable of learning from data and making predictions. They create and optimize algorithms and models that power machine learning applications. Machine learning engineers work closely with data scientists and software engineers to integrate models into production environments. Their role involves preparing data selecting appropriate models fine-tuning algorithms and ensuring scalability and efficiency. They focus on building systems that can adapt over time improving accuracy and performance in real-world applications."
Machine Learning Engineer,2,"['Python', 'R', 'Java']","['TensorFlow', 'Keras', 'PyTorch', 'Scikit-learn']","['MySQL', 'MongoDB', 'Supabase']","['Google Colab', 'Jupyter Notebook', 'Pandas', 'Scikit-learn', 'AWS Cloud']", "A machine learning engineer is responsible for designing and building AI systems capable of learning from data and making predictions. They create and optimize algorithms and models that power machine learning applications. Machine learning engineers work closely with data scientists and software engineers to integrate models into production environments. Their role involves preparing data selecting appropriate models fine-tuning algorithms and ensuring scalability and efficiency. They focus on building systems that can adapt over time improving accuracy and performance in real-world applications."
Machine Learning Engineer,4,"['Python']","['TensorFlow', 'Keras', 'PyTorch', 'Scikit-learn', 'Numpy']","['MySQL', 'MongoDB', 'PostgreSQL']","['Google Colab', 'Jupyter Notebook','GCP Cloud']", "A machine learning engineer is responsible for designing and building AI systems capable of learning from data and making predictions. They create and optimize algorithms and models that power machine learning applications. Machine learning engineers work closely with data scientists and software engineers to integrate models into production environments. Their role involves preparing data selecting appropriate models fine-tuning algorithms and ensuring scalability and efficiency. They focus on building systems that can adapt over time improving accuracy and performance in real-world applications."
Data Analyst,6,"['Python', 'R', 'SQL', 'JavaScript']","['Scikit-learn', 'Django', 'Flask', 'Keras']","['PostgreSQL', 'Oracle', 'MongoDB']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Matplotlib', 'Azure', 'GitLab', 'Docker', 'Power BI']", "The data analyst serves as a gatekeeper for an organization's data so stakeholders can understand data and use it to make strategic business decisions. It is a technical role that requires an undergraduate degree or master's degree in analytics, computer modeling, science, or math."
Data Analyst,8,"['Python', 'R', 'SQL', 'Excel', 'JavaScript']","['PowerBI', 'Tableau', 'Google Data Studio']","['MySQL', 'PostgreSQL', 'BigQuery']","['Excel', 'Tableau', 'PowerBI', 'Google Analytics', 'SQL Server']", "The data analyst serves as a gatekeeper for an organization's data so stakeholders can understand data and use it to make strategic business decisions. It is a technical role that requires an undergraduate degree or master's degree in analytics, computer modeling, science, or math."
Data Analyst,4,"['Python','SQL', 'Excel', 'JavaScript']","['PowerBI', 'Tableau']","['MySQL', 'PostgreSQL', 'BigQuery']","['Excel', 'Tableau', 'PowerBI', 'Google Analytics', 'SQL Server']", "The data analyst serves as a gatekeeper for an organization's data so stakeholders can understand data and use it to make strategic business decisions. It is a technical role that requires an undergraduate degree or master's degree in analytics, computer modeling, science, or math."
Data Analyst,2,"['Python','SQL']","['PowerBI', 'Tableau']","['MySQL', 'PostgreSQL']","['Excel', 'Tableau', 'PowerBI', 'Google Analytics', 'SQL Server']", "The data analyst serves as a gatekeeper for an organization's data so stakeholders can understand data and use it to make strategic business decisions. It is a technical role that requires an undergraduate degree or master's degree in analytics, computer modeling, science, or math."
Data Analyst,5,"['Python','R']","['PowerBI', 'Tableau']","['MySQL', 'PostgreSQL', 'MongoDB']","['Excel', 'Tableau', 'SQL Server']", "The data analyst serves as a gatekeeper for an organization's data so stakeholders can understand data and use it to make strategic business decisions. It is a technical role that requires an undergraduate degree or master's degree in analytics, computer modeling, science, or math."
AI Researcher,8,"['Python', 'Lisp', 'Julia', 'C']","['PyTorch', 'TensorFlow', 'MXNet', 'Flask']","['MySQL', 'Neo4j', 'SQLite']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Scikit-learn', 'Google Cloud', 'GitHub', 'Docker', 'Tableau']","AI Researchers are at the forefront of technological innovation, dedicated to advancing the capabilities of artificial intelligence systems. They are the creative minds behind groundbreaking AI algorithms, models, and applications that impact industries ranging from healthcare to autonomous vehicles."
AI Researcher,7,"['Python', 'R', 'C++', 'Julia']","['TensorFlow', 'PyTorch', 'Scikit-learn', 'OpenAI Gym']","['PostgreSQL', 'BigQuery', 'NoSQL']","['Jupyter Notebook', 'Google Colab', 'AWS Cloud', 'Git', 'Docker']", "AI Researchers are at the forefront of technological innovation, dedicated to advancing the capabilities of artificial intelligence systems. They are the creative minds behind groundbreaking AI algorithms, models, and applications that impact industries ranging from healthcare to autonomous vehicles."
AI Researcher,3,"['Python', 'R', 'C++']","['TensorFlow', 'PyTorch', 'Scikit-learn', 'OpenAI Gym']","['PostgreSQL', 'BigQuery', 'NoSQL']","['Jupyter Notebook','Git', 'Docker']", "AI Researchers are at the forefront of technological innovation, dedicated to advancing the capabilities of artificial intelligence systems. They are the creative minds behind groundbreaking AI algorithms, models, and applications that impact industries ranging from healthcare to autonomous vehicles."
AI Researcher,4,"['Python', 'R']","['TensorFlow', 'PyTorch', 'Scikit-learn', 'Numpy']","['PostgreSQL', 'NoSQL']","['Jupyter Notebook','Git', 'Docker']", "AI Researchers are at the forefront of technological innovation, dedicated to advancing the capabilities of artificial intelligence systems. They are the creative minds behind groundbreaking AI algorithms, models, and applications that impact industries ranging from healthcare to autonomous vehicles."
AI Researcher,5,"['Python', 'R', 'C', 'Ruby']","['PyTorch', 'Scikit-learn', 'Numpy', 'Pandas']","['PostgreSQL', 'Firebase']","['Jupyter Notebook','Git','Docker','Google Cloud']", "AI Researchers are at the forefront of technological innovation, dedicated to advancing the capabilities of artificial intelligence systems. They are the creative minds behind groundbreaking AI algorithms, models, and applications that impact industries ranging from healthcare to autonomous vehicles."
Statistician,3,"['R', 'Python', 'SQL', 'MATLAB']","['Keras', 'Scikit-learn', 'StatsModels', 'Django']","['MySQL', 'SQLite', 'Oracle']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Scikit-learn', 'AWS S3', 'GitLab', 'Docker', 'Tableau']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Statistician, 9,"['R', 'Python', 'SAS', 'SQL']","['SPSS', 'R Shiny', 'Jupyter Notebook']","['PostgreSQL', 'MySQL', 'SQLite']","['Tableau', 'Excel', 'PowerBI', 'RStudio', 'Git']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Statistician, 11,"['R', 'Python', 'SAS', 'SQL']","['SPSS', 'R Shiny', 'Jupyter Notebook']","['PostgreSQL', 'MySQL', 'SQLite']","['Tableau', 'Excel', 'PowerBI', 'RStudio', 'Git']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Statistician, 14,"['R', 'Python', 'SAS']","['SPSS', 'R Shiny', 'Jupyter Notebook']","['PostgreSQL', 'MySQL', 'SQLite']","['Tableau', 'Excel', 'PowerBI', 'RStudio', 'Git']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Statistician, 9,"['R', 'Python']","['SPSS', 'R Shiny', 'Jupyter Notebook']","['PostgreSQL','SQLite']","['Tableau', 'Excel', 'PowerBI', 'RStudio', 'Git']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Data Architect,9,"['Python', 'SQL', 'Java', 'Go']","['PyTorch', 'Apache Kafka', 'Django', 'Keras']","['PostgreSQL', 'MongoDB', 'Neo4j']","['Jupyter Notebook', 'Pandas', 'NumPy', 'AWS Glue', 'GitHub', 'Docker', 'Terraform']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Data Architect,12,"['Python', 'SQL', 'Java', 'C#']","['Hadoop', 'Spark', 'Kafka', 'Hive']","['Oracle', 'SQL Server', 'MongoDB']","['AWS Redshift', 'Google BigQuery', 'Azure SQL', 'DataBricks', 'Git']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Data Architect,4,"['Python', 'SQL']","['Hadoop', 'Spark', 'Kafka', 'Hive']","['Oracle', 'SQL Server', 'MongoDB']","['AWS Redshift', 'Google BigQuery', 'Azure SQL', 'DataBricks', 'Git']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Data Architect,3,"['Python', 'SQL']","['Hadoop', 'Spark', 'Kafka']","['SQL Server', 'MongoDB']","['AWS Redshift', 'Google BigQuery', 'Azure SQL', 'DataBricks', 'Git']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Data Architect,10,"['Python']","['Hadoop', 'Spark']","['SQL Server', 'MongoDB', 'MySQL']","['AWS Cloud', 'Google BigQuery', 'Azure SQL', 'DataBricks', 'Git', 'ETL Tools']", "Statisticians develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. They may specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics."
Business Intelligence Developer,5,"['SQL', 'Python', 'JavaScript', 'R']","['Power BI', 'Tableau', 'Looker', 'Flask']","['PostgreSQL', 'Oracle', 'MongoDB']","['Jupyter Notebook', 'Pandas', 'NumPy', 'Matplotlib', 'AWS S3', 'GitLab', 'Docker', 'Power BI']", "A business intelligence developer is in charge of generating, organizing, and maintaining business interfaces. These include dashboards, data visualizations, regular and impromptu reports, and data querying tools for users to get the information they require."
Business Intelligence Developer, 10,"['SQL', 'Python', 'DAX', 'MDX']","['PowerBI', 'Tableau', 'QlikView']","['SQL Server', 'Oracle', 'MySQL']","['PowerBI', 'Tableau', 'SSIS', 'SSRS', 'Excel', 'Git']", "A business intelligence developer is in charge of generating, organizing, and maintaining business interfaces. These include dashboards, data visualizations, regular and impromptu reports, and data querying tools for users to get the information they require."
Business Intelligence Developer, 9,"['SQL', 'Python']","['PowerBI', 'Tableau']","['SQL Server', 'Oracle', 'MySQL']","['PowerBI', 'Tableau', 'SSIS', 'SSRS', 'Excel', 'Git']", "A business intelligence developer is in charge of generating, organizing, and maintaining business interfaces. These include dashboards, data visualizations, regular and impromptu reports, and data querying tools for users to get the information they require."
